ID,이름,생년월일,전화번호,주소,메모
488,조도림,2007-01-19,010-4609-3032,922 중앙로,
489,조은진,2001-02-20,010-6246-7179,519 중앙로,
490,정지현,1996-01-29,010-9251-8137,65 동성로,
491,신아아,2005-01-09,010-4438-9310,901 동성로,
492,조지연,1993-03-14,010-1416-8790,746 동성로,
493,박아성,2003-12-20,010-1579-3993,912 동성로,
494,서준율,1988-07-13,010-8083-4594,840 동성로,
495,서준진,1999-03-13,010-1422-4132,882 동성로,
496,최예주,1998-10-02,010-3090-8654,355 중앙로,
497,전지솔,2004-05-27,010-8167-4796,763 수성로,
498,류준연,1997-10-03,010-3257-5506,173 범어로,
499,조도희,2005-06-05,010-4587-5791,415 범어로,
500,서주성,2004-02-20,010-7415-7351,539 칠성로,
501,오하진,1989-04-03,010-3894-5210,610 수성로,
502,송민나,2009-03-28,010-5287-8536,548 중앙로,
503,신지윤,2010-06-14,010-5266-1457,400 중앙로,
504,최예경,2001-11-13,010-6929-4490,40 범어로,
505,조예훈,1993-12-20,010-1639-4638,848 동성로,
506,오세온,1988-10-06,010-3769-5689,130 칠성로,
507,신현훈,1991-10-31,010-6285-2524,980 칠성로,
508,신서나,1985-09-08,010-2104-7709,420 수성로,
509,박윤빈,1997-04-02,010-3768-9118,534 칠성로,
510,전시주,2006-11-21,010-1305-6693,278 칠성로,
511,신은희,2005-09-19,010-3434-8563,197 동성로,
512,김민솔,1993-09-24,010-8471-9762,646 범어로,
513,장주영,1989-03-12,010-7103-9213,484 중앙로,
514,송주원,2008-02-16,010-6516-7630,782 중앙로,
515,임윤진,1987-10-25,010-7485-2130,145 범어로,
516,안예경,2010-06-14,010-6684-6621,567 수성로,
517,류민솔,1991-12-29,010-3002-2593,681 동성로,
518,박시민,1985-03-16,010-4851-5212,393 칠성로,
519,송도경,1991-09-09,010-6850-7673,422 동성로,
520,권민희,1989-06-04,010-7915-9761,686 범어로,
521,황하윤,2004-03-04,010-1360-9654,378 칠성로,
522,임채훈,1992-06-04,010-5491-7763,242 범어로,
523,안지주,2002-08-18,010-6796-5237,485 칠성로,
524,정시성,1982-03-27,010-3804-1844,446 범어로,
525,권윤훈,1980-10-11,010-1038-6682,697 수성로,
526,김아율,1987-01-20,010-6725-2291,974 중앙로,
527,황수훈,2005-03-24,010-2834-1487,901 칠성로,
528,신서연,2008-02-12,010-6576-9798,605 범어로,
529,오은현,1997-10-05,010-6596-5503,339 수성로,
530,신아아,1981-05-17,010-4206-7127,979 칠성로,
531,류유성,1983-12-13,010-1812-6051,104 수성로,
532,임현민,2005-03-20,010-1425-2470,714 중앙로,
533,정예민,1983-07-19,010-2981-2004,581 범어로,
534,임아아,1980-09-11,010-1215-2887,715 수성로,
535,류다영,1993-12-10,010-6042-4826,39 칠성로,
536,이유림,1990-11-21,010-1279-9981,695 범어로,
537,류현원,1993-03-23,010-6314-2812,782 칠성로,
538,장은나,1985-10-19,010-1790-4143,535 수성로,
539,류지영,1989-12-09,010-1509-4977,926 중앙로,
540,강도영,1990-05-18,010-9915-3713,117 동성로,
541,권지원,2010-11-18,010-4303-6469,984 중앙로,
542,조현림,2006-11-24,010-8196-5733,24 동성로,
543,임지성,2003-12-12,010-9260-5343,110 수성로,
544,정은희,1981-09-02,010-3920-9091,778 칠성로,
545,윤채림,2003-01-22,010-8060-6234,819 수성로,
546,정윤경,2004-07-18,010-5390-2863,811 범어로,
547,한은림,1998-04-02,010-7272-9259,609 칠성로,
548,김다훈,1991-08-10,010-3685-4153,784 중앙로,
549,오현온,1991-08-09,010-7869-5058,309 칠성로,
550,권진원,1980-03-17,010-9148-4674,719 범어로,
551,김아원,1996-02-14,010-8033-9611,773 동성로,
552,윤윤빈,1986-06-19,010-6332-3133,524 중앙로,
553,조다아,1984-04-03,010-3659-7431,766 중앙로,
554,황다우,1983-01-19,010-2189-5308,973 동성로,
555,한윤원,2009-10-31,010-9831-2694,634 범어로,
556,최지영,2005-03-28,010-4438-3149,544 동성로,
557,안진윤,1985-03-13,010-6801-7696,406 중앙로,
558,전수성,1989-07-31,010-1329-7059,540 중앙로,
559,정지윤,1984-02-17,010-4761-5924,160 칠성로,
560,권민민,1997-07-17,010-8845-9745,135 동성로,
561,권세진,1981-08-20,010-1704-8783,440 범어로,
562,김은성,1987-08-23,010-1349-8628,951 범어로,
563,안수현,1984-09-27,010-9514-7880,806 칠성로,
564,전다온,1991-10-18,010-6112-6544,805 범어로,
565,김예빈,2007-08-01,010-9804-2107,284 동성로,
566,임현주,2007-06-20,010-2562-2309,236 동성로,
567,조은영,1992-08-03,010-4495-3917,177 중앙로,
568,오채림,2007-04-12,010-2451-1210,657 수성로,
569,서지나,1993-12-25,010-7884-7871,259 중앙로,
570,신다주,2004-02-28,010-3494-3899,941 칠성로,
571,서다원,2007-09-01,010-8114-5158,563 동성로,
572,임시민,1983-09-23,010-6668-3991,469 동성로,
573,최현원,1990-09-27,010-9262-6618,996 범어로,
574,한예영,1993-12-26,010-9641-2237,270 중앙로,
575,안세림,2010-02-13,010-3562-3140,212 칠성로,
576,윤준우,2003-06-29,010-1295-3407,272 동성로,
577,신지림,1992-09-30,010-6456-3189,343 범어로,
578,김도영,1995-12-09,010-9882-4911,100 중앙로,
579,신윤진,2003-12-10,010-6520-9628,864 범어로,
580,황지온,1985-11-05,010-3187-6289,826 수성로,
581,조채아,1989-03-05,010-5872-5008,155 범어로,
582,한시림,1993-06-09,010-6352-8224,519 범어로,
583,이채아,1985-09-18,010-2668-5679,624 수성로,
584,최시현,1981-07-05,010-3611-5053,602 중앙로,
585,황윤솔,2005-06-25,010-8198-4925,813 수성로,
586,서지우,2009-03-08,010-3425-4948,650 동성로,
587,조지윤,2002-09-22,010-3046-8792,297 범어로,
588,이준진,1991-03-25,010-4270-4697,655 수성로,
589,임은원,1982-06-15,010-4436-3691,217 동성로,
590,오지연,1985-10-27,010-8639-2163,577 중앙로,
591,장서경,1998-06-23,010-1989-2025,254 동성로,
592,장하원,1998-08-19,010-2279-3343,608 동성로,
593,권윤현,2007-01-05,010-5573-9300,692 수성로,
594,장은림,2010-04-03,010-5398-5128,778 동성로,
595,장민진,2003-01-05,010-3988-9335,377 동성로,
596,송하솔,2005-12-30,010-2758-4349,325 중앙로,
597,권윤훈,1984-04-27,010-2491-2120,195 수성로,
598,신준윤,2002-03-16,010-6399-8011,649 칠성로,
599,안현우,1995-06-13,010-8504-7025,715 동성로,
600,조하빈,2009-05-30,010-1157-8275,491 중앙로,
601,서진주,2001-08-05,010-3831-5424,7 범어로,
602,최예림,1998-03-09,010-8919-6487,336 동성로,
603,송지솔,1995-07-20,010-3259-3605,842 중앙로,
604,류채훈,1994-02-19,010-4740-5497,292 칠성로,
605,오다훈,2005-02-11,010-6637-2876,749 동성로,
606,윤주우,1996-08-14,010-1041-5660,656 수성로,
607,정윤솔,2003-02-14,010-7316-1195,500 칠성로,
608,윤시현,2003-07-21,010-1173-7287,589 중앙로,
609,신진나,1986-11-05,010-4565-9397,81 범어로,
610,최유진,1987-02-25,010-3592-1623,137 범어로,
611,박채윤,2007-10-12,010-7716-9487,962 칠성로,
612,오세솔,2008-01-13,010-2968-3459,203 칠성로,
613,황지주,2006-04-21,010-7100-6539,99 칠성로,
614,권주훈,2008-06-24,010-1726-4725,732 수성로,
615,안준아,1987-03-21,010-4291-9131,277 중앙로,
616,서유희,1998-08-25,010-3728-8807,483 수성로,
617,오하성,1991-06-26,010-6577-2400,843 수성로,
618,한윤빈,2003-10-27,010-9128-9940,260 수성로,
619,김진희,2000-03-06,010-5257-2724,29 범어로,
620,정윤윤,2007-12-11,010-2637-8400,194 범어로,
621,김예주,1980-04-28,010-4896-8404,904 칠성로,
622,장다민,2005-04-06,010-7783-8482,325 중앙로,
623,권주우,1999-10-20,010-8917-9456,389 칠성로,
624,권예빈,1995-09-22,010-1416-4360,288 중앙로,
625,한은진,1986-12-01,010-9970-9799,323 동성로,
626,오민나,2004-11-21,010-5609-8131,548 동성로,
627,최채영,1988-06-07,010-1682-3622,64 칠성로,
628,최지림,2007-07-06,010-6330-4205,787 동성로,
629,최현온,2004-02-25,010-1859-8562,988 수성로,
630,이다훈,1990-05-20,010-2414-1583,895 칠성로,
631,강진영,2006-11-22,010-3797-2830,957 동성로,
632,신지빈,1998-10-25,010-7029-3120,761 범어로,
633,오예아,1981-02-09,010-5482-3926,351 동성로,
634,강서민,2000-12-24,010-2419-7890,708 수성로,
635,송시우,1983-12-30,010-1720-5701,314 범어로,
636,전세원,2006-10-11,010-2657-1030,399 칠성로,
637,이진빈,2009-04-04,010-4037-7475,418 중앙로,
638,오진성,1992-05-16,010-2482-3307,223 수성로,
639,황지율,2005-05-01,010-1346-8666,181 칠성로,
640,최진주,2004-12-28,010-8281-4154,797 수성로,
641,윤지영,1994-07-08,010-5578-8794,460 칠성로,
642,황도민,1998-04-26,010-1272-7621,411 수성로,
643,권수율,1994-11-16,010-2733-4468,552 칠성로,
644,전시주,2002-12-20,010-5651-8945,231 수성로,
645,박지솔,1986-11-07,010-5255-1292,614 칠성로,
646,조민현,1993-10-14,010-7918-4497,696 범어로,
647,권도원,1981-07-17,010-3590-2073,832 중앙로,
648,신유우,1988-01-02,010-4668-3533,732 수성로,
649,안지주,2005-01-05,010-6084-1041,184 수성로,
650,김다아,2003-09-06,010-8609-7154,192 칠성로,
651,안주훈,1980-03-24,010-5968-6368,579 수성로,
652,오서성,1983-05-24,010-8793-6251,773 수성로,
653,이준림,2006-03-23,010-3444-3025,248 동성로,
654,서수윤,2008-03-19,010-9738-3512,420 중앙로,
655,한채원,1988-07-22,010-8794-6337,964 수성로,
656,김진윤,1989-02-01,010-1871-7645,239 칠성로,
657,윤진주,2000-02-23,010-8975-8175,758 동성로,
658,윤진성,1997-03-14,010-1158-1222,149 중앙로,
659,안채현,1994-10-20,010-2660-6799,122 동성로,
660,신아림,2010-05-05,010-3876-3120,108 범어로,
661,신서진,1989-10-06,010-7266-9033,744 수성로,
662,권유원,2008-03-18,010-2447-4771,913 중앙로,
663,윤주영,1982-10-03,010-4718-5397,203 칠성로,
664,장주솔,1997-07-13,010-7548-9375,629 수성로,
665,서민영,2001-02-22,010-5245-9521,819 수성로,
666,황예우,1996-01-02,010-8497-8940,47 범어로,
667,한시현,1982-11-21,010-4426-2982,331 범어로,
668,서은솔,1985-07-12,010-8869-5543,405 칠성로,
669,강시나,2006-09-23,010-4221-1495,978 중앙로,
670,장세진,2009-02-05,010-9366-4633,208 칠성로,
671,장주빈,1993-01-17,010-4092-3563,252 수성로,
672,김은림,1986-06-02,010-2659-2817,557 동성로,
673,안세연,1985-01-11,010-6000-1701,108 동성로,
674,서시연,2004-10-31,010-7755-1756,811 중앙로,
675,안도빈,1998-02-23,010-5593-4049,89 범어로,
676,윤현솔,1981-07-31,010-6477-4178,422 칠성로,
677,장지희,1984-08-21,010-1427-5593,978 범어로,
678,최하나,1996-06-21,010-6425-2173,352 범어로,
679,한예림,1995-05-19,010-5102-4224,793 동성로,
680,최지영,1980-03-26,010-1406-6286,712 칠성로,
681,김진주,1999-02-12,010-7319-6879,761 칠성로,
682,류채연,2003-08-24,010-4332-8152,634 칠성로,
683,오현온,1992-05-31,010-5996-7918,101 범어로,
684,윤시진,1986-06-21,010-1540-9161,608 칠성로,
685,안수빈,2008-05-21,010-2032-1292,21 동성로,
686,이진현,1996-06-15,010-5863-8133,704 칠성로,
687,정시성,1981-07-09,010-7018-3330,582 수성로,
688,류시솔,1994-04-29,010-9180-8965,724 범어로,
689,조다림,1992-06-09,010-4053-7172,424 중앙로,
690,김진연,1999-08-28,010-5070-1671,271 중앙로,
691,오윤빈,1999-08-20,010-8603-9537,399 칠성로,
692,황준온,2008-05-09,010-7829-9415,798 칠성로,
693,조은영,2000-01-12,010-6762-4285,338 동성로,
694,오준연,1986-09-19,010-7723-5630,841 중앙로,
695,장서솔,1989-07-18,010-5300-9869,354 수성로,
696,장서아,2008-05-01,010-9809-2218,262 범어로,
697,오진진,1993-08-29,010-2217-6898,138 칠성로,
698,신아빈,1988-02-08,010-1810-3086,341 동성로,
699,권채훈,1993-05-10,010-8151-9136,644 동성로,
700,권채원,2009-12-29,010-4599-2138,322 칠성로,
701,최예주,1981-12-29,010-5797-3633,409 중앙로,
702,강민림,1997-12-31,010-3245-9174,451 칠성로,
703,안유윤,1990-08-07,010-7915-1509,117 동성로,
704,안수연,2000-12-24,010-7035-4698,934 범어로,
705,전주경,2000-06-30,010-5789-4821,848 중앙로,
706,서서영,1996-12-22,010-8256-4417,628 수성로,
707,장유연,2003-07-11,010-2402-6400,222 칠성로,
708,김은솔,1983-06-20,010-8068-2439,291 동성로,
709,김준진,2004-08-26,010-4087-4620,69 칠성로,
710,김진윤,1983-02-15,010-3429-5536,237 칠성로,
711,서지영,2007-05-05,010-2745-3457,61 중앙로,
712,김유율,1985-09-23,010-6694-9434,788 동성로,
713,전예민,2007-02-03,010-8571-6330,502 수성로,
714,이진아,1982-07-25,010-6842-3037,778 칠성로,
715,윤지연,1980-02-10,010-1308-8717,944 범어로,
716,류지림,2006-11-20,010-8134-3354,711 동성로,
717,류수솔,1982-01-22,010-4228-2397,202 수성로,
718,박윤성,1989-02-12,010-9670-8842,815 칠성로,
719,강은주,2008-05-10,010-1607-5557,45 칠성로,
720,강하우,1981-10-12,010-9960-8936,409 동성로,
721,김현빈,1984-03-30,010-6586-4687,747 수성로,
722,장세나,1980-04-04,010-1752-2064,604 동성로,
723,안시훈,1998-08-31,010-7342-6661,949 수성로,
724,류준성,2009-04-19,010-5236-2097,376 수성로,
725,이아연,1990-01-21,010-2243-8919,844 범어로,
726,장다연,1992-04-20,010-3081-4673,418 범어로,
727,서현원,1983-11-23,010-8350-6542,512 칠성로,
728,장다온,1991-07-09,010-1292-2744,623 중앙로,
729,안지윤,1997-04-08,010-9341-5432,632 중앙로,
730,정민원,1991-08-27,010-4324-5927,381 동성로,
731,장민온,1995-01-20,010-2289-7396,805 수성로,
732,안세성,1982-10-17,010-7296-3233,765 범어로,
733,장은온,2002-09-07,010-2525-9736,85 범어로,
734,권윤민,1981-05-11,010-9053-5154,990 칠성로,
735,조다민,2003-09-03,010-4254-1049,178 범어로,
736,임다진,1994-02-13,010-3986-6375,194 칠성로,
737,정윤나,2008-09-11,010-4683-9474,111 동성로,
738,임준원,2007-07-29,010-1143-4150,749 동성로,
739,전시연,1982-10-30,010-1415-6232,3 동성로,
740,신지나,1991-10-07,010-2434-6391,553 범어로,
741,조현현,2009-06-20,010-5324-8932,362 범어로,
742,송예윤,2000-07-08,010-7428-8522,92 중앙로,
743,안예성,1984-04-04,010-3593-7259,335 중앙로,
744,박민희,2000-03-14,010-3972-6266,325 중앙로,
745,황민윤,1982-11-03,010-3975-2194,933 칠성로,
746,최지솔,1995-11-04,010-9602-6602,612 범어로,
747,박다민,1998-05-15,010-1024-8493,460 동성로,
748,한시율,1990-09-18,010-7373-8743,898 칠성로,
749,조도영,2000-12-26,010-9448-5306,567 범어로,
750,오지우,1989-10-02,010-6752-5286,594 동성로,
751,최채림,1989-05-11,010-6960-5681,353 칠성로,
752,정서진,1996-12-29,010-3978-9790,558 동성로,
753,장지성,2009-08-28,010-9040-6694,954 범어로,
754,송현민,1981-01-10,010-6765-4905,436 중앙로,
755,장윤아,2000-02-16,010-9557-3609,225 수성로,
756,이준우,2010-08-04,010-2065-1023,551 칠성로,
757,오아온,1988-12-23,010-2987-5686,942 칠성로,
758,임다주,1989-11-11,010-8441-1490,385 범어로,
759,신민우,2000-08-30,010-2132-2096,379 칠성로,
760,정예나,2009-01-14,010-3861-3433,275 칠성로,
761,안윤훈,2007-11-17,010-1945-4578,632 수성로,
762,윤지영,2009-09-05,010-8697-5143,355 수성로,
763,안서온,1989-07-12,010-7383-2449,966 수성로,
764,조은원,1980-04-08,010-9718-4163,350 범어로,
765,전은경,1992-05-02,010-5246-8268,782 범어로,
766,황채원,2003-03-25,010-8344-1109,266 수성로,
767,박진림,1993-12-14,010-9933-3037,435 칠성로,
768,박지희,1993-08-22,010-7935-3503,797 동성로,
769,최준영,1987-02-09,010-2641-8596,521 동성로,
770,권현아,1998-06-24,010-1865-8417,265 칠성로,
771,윤유진,1983-08-31,010-9272-8177,883 중앙로,
772,한현아,1980-10-27,010-7663-8082,521 범어로,
773,최채경,2004-06-20,010-4609-6938,733 동성로,
774,윤아훈,1984-04-26,010-4070-4147,254 동성로,
775,한채경,1999-05-19,010-4798-9965,319 중앙로,
776,김서빈,2004-05-21,010-2760-6453,84 수성로,
777,조다온,1988-03-14,010-1515-5352,781 중앙로,
778,조현림,1989-11-01,010-5156-2486,923 중앙로,
779,김준윤,1987-02-11,010-1112-8591,803 수성로,
780,박진아,1986-03-24,010-2747-5087,383 범어로,
781,장현우,1995-04-21,010-6493-9213,892 칠성로,
782,신지원,1985-10-13,010-4852-5193,876 수성로,
783,서다나,1990-03-06,010-6326-3054,309 수성로,
784,오다윤,2010-06-25,010-7386-8912,234 범어로,
785,전도솔,1996-02-01,010-2263-4627,673 칠성로,
786,박주나,2002-06-12,010-1979-2776,57 중앙로,
787,권준원,2000-03-06,010-9544-7439,874 범어로,
788,안현솔,1989-04-01,010-6596-9663,41 칠성로,
789,박은아,2008-01-22,010-5124-5954,907 중앙로,
790,전도경,1982-10-30,010-2179-6291,877 범어로,
791,신서성,1996-12-16,010-6758-1595,257 칠성로,
792,김수현,1991-03-08,010-1765-4846,183 중앙로,
793,박준온,1998-12-11,010-5205-4715,260 칠성로,
794,류도솔,1993-08-22,010-3432-1566,52 범어로,
795,류지솔,1987-11-23,010-9594-3831,278 수성로,
796,서윤빈,2001-10-15,010-3011-1881,89 동성로,
797,서지민,1987-02-03,010-4486-1541,879 수성로,
798,이하율,1996-01-03,010-2284-6496,517 범어로,
799,서채경,2000-02-21,010-4161-6019,290 수성로,
800,윤지율,2001-10-10,010-7226-7426,11 중앙로,
801,정도아,1997-10-07,010-7704-2508,105 수성로,
802,오도윤,2004-09-18,010-5556-8997,462 칠성로,
803,권채온,2008-07-31,010-1462-6252,317 칠성로,
804,윤수진,1994-02-05,010-9297-1176,710 중앙로,
805,박은주,2010-12-08,010-9493-5965,861 칠성로,
806,임시율,1984-09-24,010-4385-7579,863 수성로,
807,오준민,1986-12-20,010-1894-6834,515 중앙로,
808,오주율,1995-04-01,010-1267-3979,231 중앙로,
809,전시경,2009-05-13,010-4328-6371,172 동성로,
810,박준경,1988-07-03,010-4968-8712,303 수성로,
811,윤세우,2000-05-21,010-2389-2970,322 중앙로,
812,윤수빈,2005-05-12,010-2591-9762,979 수성로,
813,정준민,2008-11-25,010-6314-6621,955 수성로,
814,윤하경,2010-10-12,010-1098-8211,703 중앙로,
815,안지빈,1993-08-13,010-1871-5108,713 동성로,
816,전채진,2005-09-01,010-5184-5301,700 중앙로,
817,윤수영,1980-07-02,010-8253-7693,929 동성로,
818,김세주,1991-07-30,010-5492-9719,954 동성로,
819,조은빈,2007-02-08,010-2520-5590,952 수성로,
820,장현성,2002-04-17,010-1030-2875,158 범어로,
821,김유훈,1988-09-04,010-5701-4707,416 범어로,
